id_sha256,outer_fold,referencia_humana,previsto,confianca
00a34678bbaf68b3fbe2a3b4deb75ec6c5cd37141d6ff4855943ab5a8f8c9d39,5,Projetos e Reformas > Reforma,Estrutura Predial > Pintura,0.053139
00a4d448b5cf18dc94a224e384220ab91e8e05965b0fde0167a49ed312bd4119,5,"Estrutura Predial > Esquadrias, porta, portão e janelas","Estrutura Predial > Esquadrias, porta, portão e janelas",0.046539
00a655d0c53d7305b6b6cdb33d87584964b36fbe98a68a8705c8de9e3d098557,3,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",Estrutura Predial > Alvenaria / Pisos / Estrutura,0.062663
00b44d05f8e672e61af11541c209d3559909a31ca3505645108dfc7cd029a4ec,4,Hidrossanitária > Hidráulica,Hidrossanitária > Hidráulica,0.068072
00bd3cfc2a686da0d9b45af39a2cccfe41394ec92deaed98a1e50c671389fa26,3,Manutenção Preventiva > Ar condicionado split,Manutenção Preventiva > Ar condicionado split,0.182951
00bebb99fdce4137a7e3a174860d3e59e3936b0d5009221eac0e5ea0d49d0026,5,Elétrica > Iluminação,Elétrica > Instalações elétricas,0.138569
00c49d3489dcef14bf3e3e0d6f291aa22c3230f1c06a38d00a58725c92a44b62,3,Manutenção Preventiva > Ar condicionado split,Manutenção Preventiva > Ar condicionado split,0.192709
00c68dbbda09ab0c92badadd498663cdbae481559a357f59d7d4a0d1d14652a3,5,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)","Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",0.050129
00c7325b475eb4479192fb3d67d2799a1daa313e982cf66c81d099fb59a25808,4,Estrutura Predial > Alvenaria / Pisos / Estrutura,Hidrossanitária > Hidráulica,0.055079
00d3ac59d51f03c8cc2746180cdf61f835c384f0698fcece9ab00bdb55f5da30,4,Manutenção Preventiva > Ar condicionado split,Climatização > Ar condicionado split,0.067594
00d920191e652de354ec24524db9095b4af8b2624ac442548a777863e6d45a6b,2,Manutenção Preventiva > Quadros Elétricos,Manutenção Preventiva > Quadros Elétricos,0.182885
00dbde6213499bf45e256f14adbea01174d4654b5e2929f108c8964cb9649ea7,4,Hidrossanitária > Bomba,Hidrossanitária > Bomba,0.093614
00dd2b9087b23b47223c07c12ff135cbb9e18910332c17f4d0c93cc1c3bc316f,1,Manutenção Preventiva > Gerador,Manutenção Preventiva > Gerador,0.169491
00dfd8f42a61bb1f9c98d5b65c4dfe020182e244feefa757553656ab6b5974ea,3,Elétrica > Instalações elétricas,Elétrica > Instalações elétricas,0.049782
00e26c6a6fe6d87c5fa1bb1f224a3f1c4e6479f5d0cc5d57dc9b19ba1b7cfb1a,2,Elétrica > Instalações elétricas,Climatização > Ar condicionado central,0.089928
00e4bf21186c9300f6685a7950db921c099ff1a09fa0bf6d5ac85c742fcfcc2d,5,Hidrossanitária > Hidráulica,Hidrossanitária > Hidráulica,0.10324
00e60d585884c3a96abab315d20a22f8ef7e5928bda1a8b83a69d870a86bb120,5,Manutenção Preventiva > Gerador,Manutenção Preventiva > Gerador,0.18261
00ebd4ef5ecefbc0836f8354267b8476f2dbae12027deaedf07d87500f30c0b7,4,Climatização > Ar condicionado split,Climatização > Ar condicionado split,0.143019
00fa8e9d7e8a95c869adad2b5cf7752eeff51ef28b3e110ee3ea89ed720d937a,1,Hidrossanitária > Hidráulica,Hidrossanitária > Hidráulica,0.057984
00fd24c4411a292b607c9dbd1892d009a70d1258a5e433ef4e5e1383ecc44065,3,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)","Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",0.050297
00fe036af29a8213aa84bd0f3b0424880df1193b75d59ea0aafe4b144cc5efb1,2,Elétrica > Instalações elétricas,Elétrica > Nobreak,0.076617
0100ec481be4e19ea0226412cab748a17f21415d53142ddf79c874b055d7ecb2,1,Manutenção Preventiva > Ar condicionado split,Manutenção Preventiva > Ar condicionado split,0.191981
0103e84cedfa050e4381077f68125741bafb001186e9905ecbec6310ea7e88bf,5,Manutenção Preventiva > Ar condicionado split,Manutenção Preventiva > Ar condicionado split,0.200724
0106aa14518957b41148de5caee892fbf2638b981a7c9adf5da11ce6cdf4a9dc,1,Hidrossanitária > Hidráulica,Hidrossanitária > Hidráulica,0.10913
0109f4f758dd7532da723f36b8170d5b47d435fa46e76560a7ae1c2baaed276b,5,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)","Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",0.069616
0119481a47b62dd6432820fb587926a7a08f12dd4855081fa6643fd7d838eeb2,4,Climatização > Ar condicionado split,Climatização > Ar condicionado split,0.120233
011b5bbdcdbdbbcc61ff2cb581448dcf91879a1fbe0ff8899b64699524739053,5,Elétrica > Instalações elétricas,Elétrica > Instalações elétricas,0.090485
011f34bd60f45475a2aa02be3f45853a546c17a7e1d5e6bad66862649aedb98d,5,Elétrica > Iluminação,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,0.041868
01244f3d21ba0b7005d37f69330e66bf09eae879e8ae442d54a208fa1062b61b,5,Hidrossanitária > Hidráulica,Hidrossanitária > Hidráulica,0.165161
012690571f77c80d43031559b11f2fe942b24d9036b7afc662b483631916c533,1,Hidrossanitária > Hidráulica,Manutenção Preventiva > Reservatório,0.098336
0128fe57a9984b8ae47f1f8f39a64c92457faa119c116b380390877d3a7deee5,1,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,0.098047
012b6763c57bfb161277f92d51fa70600649e1d0b1ff8d1d7f58d25e71b2685d,5,Manutenção Preventiva > Reservatório,Manutenção Preventiva > Reservatório,0.170002
01343657e11e33a4db15df0e0328ead3532869ca30ba283c4379a740cb0312ea,4,Hidrossanitária > Hidráulica,Hidrossanitária > Hidráulica,0.097979
013929b0e4afadb792e73feee7f43dbc8f42cf82fe213c0563f61c94158785b3,2,"Estrutura Predial > Esquadrias, porta, portão e janelas","Estrutura Predial > Esquadrias, porta, portão e janelas",0.107757
013a40133feabe52741bad94efcedec2c23bc2b298848df8c324aad1d9e4e2d6,3,Elétrica > Instalações elétricas,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.059253
013bc391b3642f5c23b02742bcb2482514829c3424efd708aba4c2942727c16f,5,Manutenção Preventiva > Ar condicionado split,Manutenção Preventiva > Ar condicionado split,0.204075
013d700cd966991906f3ad7120d6804e1f9ffcf0e19be086fe4d08f0acba78bc,2,Manutenção Preventiva > Gerador,Manutenção Preventiva > Gerador,0.188833
013e22feb4c29f4538c2a681ccde3bf1d5bdf0bd0c41b8ff0d545b5653099514,3,Manutenção Preventiva > Gerador,Manutenção Preventiva > Gerador,0.169712
014ae98c92883f015b720ef40530dc5dff0ebfef8c5f8be4fbf1424b060cd2f8,3,"Estrutura Predial > Esquadrias, porta, portão e janelas","Estrutura Predial > Esquadrias, porta, portão e janelas",0.075282
014eab633208a0888722ecb09db59474288ca50c10e263847b1fb2d606395411,5,Manutenção Preventiva > Gerador,Manutenção Preventiva > Gerador,0.149642
015287fce017a7b874a7466be0d7e0423a7068b9cf19c4d7fa299d35128c7e05,1,Outros > Erro de chamado,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",0.034565
015dd044ee9f809cdf83b19270e5eca74ece7684050fc3eb545b7734cbbff52f,3,Climatização > Ar condicionado split,Climatização > Ar condicionado split,0.15155
015dd18e3c3ee9cb83f2011fc9d985b8d413e2ba95eb100d33e66913b88bc062,3,Manutenção Preventiva > Iluminação,Manutenção Preventiva > Iluminação,0.187016
017199f5fb46a058675f464ebc287eec0381b048634ce66eac1f5d106bb58a71,4,Manutenção Preventiva > Ar condicionado split,Manutenção Preventiva > Ar condicionado split,0.176509
017593ba69baf79e95e1dd0ad4f57f4361294b52dbfa6298d65db3b309a11c18,2,Manutenção Preventiva > Ar condicionado split,Manutenção Preventiva > Ar condicionado split,0.212799
017684e2193ab8728d176860a625d9d8c1e68264a585ae6aba922814c95e25d0,4,Estrutura Predial > Alvenaria / Pisos / Estrutura,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.057814
017c3dc5ae9f045cc998041f9871153644d06a2445154b67e93d5fb77485804b,1,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)","Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",0.103899
017d4299c4e36fbaced441f22875fae71f995f85a199257413574a563460a0b5,4,Manutenção Preventiva > Iluminação,Manutenção Preventiva > Iluminação,0.17444
017eabfe2b7b87a45002ff33711a1042058f028d585f39b4c6e0b22165fb71df,3,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)","Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",0.175268
0181a243839a3d841e8486348e62e56fee81d4059c34ef178eb50356a8f13c34,2,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,0.100538
0182ba629fcc921fa47659c8f60e6ae754d9e2c2fe07a05ae020b1a09a6e8578,5,Elétrica > Instalações elétricas,Elétrica > Instalações elétricas,0.087943
018547c42a77121408664c9af1424522f3dba7e6d9060bdcf83deddff5fbafeb,1,"Estrutura Predial > Esquadrias, porta, portão e janelas","Estrutura Predial > Esquadrias, porta, portão e janelas",0.10723
