id_sha256,dobra,referencia_humana,modelo,previsto,confianca
e495105c5ee3a20067fe6e4cf513511742e5a72f1c4f1cb8e16204582123ab24,2,Instalação de Acessórios e Mobiliário > Placas de identificação,naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.378194
47640e5f52b61369ed665d52e51fcd0d0577385d0d531b8eb91018ecb947df5d,1,Outros > Erro de chamado,naive_bayes,Climatização > Ar condicionado split,0.496021
79182cdeea49c82f3d64f1c55567cecce87ad0e6cb08d35d6eb39a107879be8b,3,Elétrica > Gerador,naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.191722
8a15fadc48d9f05e22123427d4564f5ca35293abfc1a5afdbcdfd8cb50353ad2,1,Elétrica > Iluminação,naive_bayes,Elétrica > Iluminação,0.255661
10817df0e1576683281c68a35157e456c39ec64bd3887c0c8ca94b7a0fc38cc9,4,Estrutura Predial > Alvenaria / Pisos / Estrutura,naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.272616
a8302321e60791ae50456d85f1bb8b3ef92fbfb23a081da45ef468be922ae9b1,1,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",naive_bayes,Elétrica > Instalações elétricas,0.405047
82af498652ef41247a7013552a7ac0538cec5a7232eb17ad11a06f1a20956293,5,Elétrica > Instalações elétricas,naive_bayes,Elétrica > Instalações elétricas,0.325509
7dbc9e01698ff64493e4d1f7f993a8999a00617345a955bf1beec9e0f84229d4,3,Climatização > Ar condicionado split,naive_bayes,Climatização > Ar condicionado split,0.921038
84d133d968520db52e04cb76484e442b6d86a128557f2db2ab3fd28bc2a07d90,1,Climatização > Ar condicionado split,naive_bayes,Climatização > Ar condicionado split,0.98507
580d98a707e0600eb322dbe7480f07486eeadeb5f8e992b8c4ad94ac3fe319de,3,Climatização > Ar condicionado split,naive_bayes,Climatização > Ar condicionado split,0.898554
bd7f4d53f4b1c920bc3e1cc023bc47005296479a6df29fd5ccd65d152d266660,2,Estrutura Predial > Alvenaria / Pisos / Estrutura,naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.402569
6fd17db7943ea6ed4569e5272090892c9e84190433de7ce786c279f0ae01f8d7,4,Projetos e Reformas > Projeto,naive_bayes,Elétrica > Instalações elétricas,0.527237
944db51d0e31fc3a105ab94fbfd52ada77b1273c0f2708789e9042cdca24a130,4,"Estrutura Predial > Esquadrias, porta, portão e janelas",naive_bayes,"Estrutura Predial > Esquadrias, porta, portão e janelas",0.855664
c6a99dc9b0b68c14f9d65783f43d43cb0a8148e61c30c36e61d9a823d5796fa8,3,Climatização > Ar condicionado split,naive_bayes,Climatização > Ar condicionado split,0.492985
15fc36b3e80b9d7f87f7dc90cd7a2845c5d8501c30f03379fcf14154f1680380,5,Suprimentos / Apoio Técnico > Materiais,naive_bayes,Climatização > Ar condicionado split,0.400397
d4677f835c202d9267e009f5add0e43f2e3e599c7ea24987eda1afbeaa88dd93,4,Estrutura Predial > Alvenaria / Pisos / Estrutura,naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.187174
5abc1ce2653dcfb7ba3bf3d691d6acaf693670b9dfae0d16e918ea929bde90c8,4,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",naive_bayes,Elétrica > Instalações elétricas,0.349437
0d59691515de478f64d35f455f424dad990861b1e5dc6d95f7bc22a97614a6af,2,Elétrica > Iluminação,naive_bayes,Elétrica > Iluminação,0.268894
a740a8741ca6c59b0e0f1d2e5037677b8fbd7b0c34ee4f7791be025d904170cc,4,Elétrica > Iluminação,naive_bayes,Hidrossanitária > Hidráulica,0.627527
25f9525ece71bbb5beb98beb01b793a8e900a1cc4fc5891b1948746272da9792,1,Climatização > Ar condicionado split,naive_bayes,Climatização > Ar condicionado split,0.675924
7dca45c32eb8330aca741c3ee9334e4fcb3d328ae847ed83d46f2ed29e65d758,1,Elétrica > Instalações elétricas,naive_bayes,Elétrica > Instalações elétricas,0.464986
cb54dc2b78efb611e99716a6e90c593e4117c4b085eb538de6b3d8ea0ef320dc,2,Elétrica > Instalações elétricas,naive_bayes,Climatização > Ar condicionado split,0.344559
efb092e03612f568901dc7504b50a6c888a3b0734f7ad9e8d6b43ea2232b1124,4,Hidrossanitária > Hidráulica,naive_bayes,Hidrossanitária > Hidráulica,0.291809
5e9c1dc390130fae4c554b404584876f78f329a1c59b969a07b8af114f1ad880,2,Elétrica > Instalações elétricas,naive_bayes,Elétrica > Instalações elétricas,0.499974
b93156c46bd94de1be3d37c72bb3f5228fce9098bd18b515b577353cb204c8f2,1,Elétrica > Iluminação,naive_bayes,Climatização > Ar condicionado split,0.318669
b8b445ba5ddcf7dab8342ce3e26609e07f5d864b5dfcef813e7ce2d78bc5f1a5,3,Projetos e Reformas > Reforma,naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.311328
b2c8e6d23d512b709af2c7f5e339d0b64d71ff5b572f1b471598d66e1ef61ad5,5,"Estrutura Predial > Esquadrias, porta, portão e janelas",naive_bayes,"Estrutura Predial > Esquadrias, porta, portão e janelas",0.216915
06071662e6313f87a31dc86ec1c2412f2973ff498009b3746d8a839dd25e2366,5,"Estrutura Predial > Esquadrias, porta, portão e janelas",naive_bayes,"Estrutura Predial > Esquadrias, porta, portão e janelas",0.755511
5b36c44d19053f9d88160de9a56bde6455eaba54f599a655803ce1e98b1ccea5,4,"Estrutura Predial > Esquadrias, porta, portão e janelas",naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.311379
6b724a6630ccac9ac84a7af1031414c6b6b6a16b59aafe635d5b93b12d44c7bf,2,Climatização > Ar condicionado split,naive_bayes,Climatização > Ar condicionado split,0.994
62a728b0b2cb8efb20f13941e7fe44058122f9869ab0a9d970fcd5080d0eae86,4,Elétrica > Instalações elétricas,naive_bayes,Elétrica > Instalações elétricas,0.445422
819460fd9350632f57a032254566d01efa193fb0d490ef12483c89107001ff86,1,Estrutura Predial > Alvenaria / Pisos / Estrutura,naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.360337
07915fe7c4d1b930ab31e4807dcaa0b2f5ce124030ce6d365283fc38fce478cd,1,Elétrica > Instalações elétricas,naive_bayes,Elétrica > Instalações elétricas,0.209317
f2a0f718b02f355aeee40ecf48041a8f6b3e0cc1ddf33e6d6d581561e678527a,2,Climatização > Ar condicionado split,naive_bayes,Climatização > Ar condicionado split,0.860844
00603386e33146708372369b0529edc249360cc628a616bf5585c33937166e03,4,Elétrica > Instalações elétricas,naive_bayes,Elétrica > Instalações elétricas,0.531759
7f489ad8915c281e41ae9affb4bdf12dd0b6746726632bb7301a6616ca7b04a0,1,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",naive_bayes,Elétrica > Instalações elétricas,0.233534
58ff81fdb177eec8bcd902272c752266525e64391caf714a7e89d20688eff92f,3,Elétrica > Nobreak,naive_bayes,Elétrica > Instalações elétricas,0.321092
b5518d4f3fea8800f3907659c7090ef49402b5ba2943c303888cfd32d0e7a854,1,Estrutura Predial > Alvenaria / Pisos / Estrutura,naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.654752
ac74ca8a7cddeb3c89b2ea19fb59e8bc9fbe112e5b98f21c6b89eb3e3aaec9e7,4,Elétrica > Iluminação,naive_bayes,Elétrica > Instalações elétricas,0.407978
120e52d7b556d767ec36cded815be09600165124a3913d4586e374056f1d2f9b,4,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.700138
b52b378cbef9d95e5b93148ce26a9cad0a6a39f79ad910697521eb9d2d58ab7a,3,Elétrica > Instalações elétricas,naive_bayes,Elétrica > Instalações elétricas,0.354965
c83f8ce24dcd4c2b07e79c60dbdb70595a586652efcf3df107113cde0cb5148e,5,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.644237
e9627bf1367d542b0df6de2a21e1178948013fe55c691fe91c6e1c015cdbc6b9,5,Elétrica > Instalações elétricas,naive_bayes,Elétrica > Instalações elétricas,0.729055
29abebdeaec524b5b1f40c7bc86cc046020ea42150496404382dea6a5a71c2f3,1,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.556666
cf8a6f1162e2758636254f6d02106289a71f60e2eef5db70ac6c0e5fb7378c9d,3,Elétrica > Iluminação,naive_bayes,Elétrica > Iluminação,0.668302
ae1f31e1ba28b07bde594969df8f0121931f39f7e83c632ab974ee5fe1c78245,1,Elétrica > Instalações elétricas,naive_bayes,Elétrica > Instalações elétricas,0.701352
24ed3fa31a50402dc751c033074f08dd636f59697b3c62ff179017ea588ebb72,3,Suprimentos / Apoio Técnico > Materiais,naive_bayes,Climatização > Ar condicionado split,0.285385
bf1889006d18a1b40d0791c50436d7eaa119bb3456e3f6300c17127ae10e7715,2,Elétrica > Instalações elétricas,naive_bayes,Elétrica > Instalações elétricas,0.455021
0b2e1b2d340ab4d647b4de4c437673bc4d3d41a64a728f58acb782991eced7af,5,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.313312
51e197d549d75965d0ad6aefd98d474c53347f196d303ee9d311be2a0608e2b9,3,Elétrica > Iluminação,naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.233558
756a6524cdb2d4eaad13228bd69d6266ffbb77c78e7f3cfde29e2667f38d3a2d,2,Elétrica > Instalações elétricas,naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.461925
5d38d5f6a62353b6afff5d41fe170aa7e6c1eb33eb5fd8fa2cf4ba004b0a9640,3,"Estrutura Predial > Esquadrias, porta, portão e janelas",naive_bayes,"Estrutura Predial > Esquadrias, porta, portão e janelas",0.618613
359bc49a0d31df4a0421ab1527a596b516dd320a156dc48104734bcc1f626ed3,3,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.35258
75d93dbee6612095e770f8637eb239773d8808839f30ce883315bcf7f17e9f30,1,Estrutura Predial > Alvenaria / Pisos / Estrutura,naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.336959
162fda1c3929b763e2d86af726d2bffe63c88d66c327b6eb9bd69d6042c8aefb,3,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,naive_bayes,Elétrica > Instalações elétricas,0.293362
b46d9a5ffd6812352725057a2748a857567bcc00656ffc482c1a0b2d5ec5640c,3,Elétrica > Iluminação,naive_bayes,Elétrica > Iluminação,0.313162
57e8be94618ed55010bb400ccde05971a2b7d0d67ebb3c099893e60d05c68c56,4,Elétrica > Instalações elétricas,naive_bayes,Elétrica > Instalações elétricas,0.592406
1cac2e47c58f84d0b8e14488f603520925b12f39da03df3462547d4256263b1c,1,Climatização > Ar condicionado split,naive_bayes,Climatização > Ar condicionado split,0.794265
24a47a476d5cbb0d00f5c33a6820e22ed99c1308b1e9679c0407148b4e93dcdb,2,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.244341
015287fce017a7b874a7466be0d7e0423a7068b9cf19c4d7fa299d35128c7e05,1,Outros > Erro de chamado,naive_bayes,Climatização > Ar condicionado split,0.317835
08a05c4b716c9953e044cf7b424d2d6f4f58486d5b8a5a10e61f458f842e9acc,3,Projetos e Reformas > Reforma,naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.347387
c2b6e1f87f1fb289ff787dc16e5a3a06dd1c19c7d70590ecef159b231607ef5f,4,"Segurança contra Incêndio > Sistemas de combate a incêndio (extintores, hidrantes)",naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.270831
1c8a1600842cc2a0dba6151022cbd9ce73db6759f401ce004694b34e0ca6c964,3,Hidrossanitária > Hidráulica,naive_bayes,Hidrossanitária > Hidráulica,0.536988
0f179fbfd346fdd67b2f7276afcef7e3b617e71e86088ae47bc5cec86d9e5594,5,Climatização > Ar condicionado split,naive_bayes,Climatização > Ar condicionado split,0.989031
df4aa3c96e0fe9b034f93372c4463a74149c33575626bdfcb30aec32d0a7f58c,3,Elétrica > Instalações elétricas,naive_bayes,Elétrica > Instalações elétricas,0.478269
b411746bdf09bde7f1fe70ddc8fa57241a0cb79d14d6e9c27e598635ca7dae4d,2,Climatização > Ar condicionado split,naive_bayes,Climatização > Ar condicionado split,0.991419
7cd788de2f5fa0134bd705bf3fcb45ea9ff54c5f0e804526c128ed32ec37917d,4,Projetos e Reformas > Reforma,naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.763867
705249ef258f93186ff58b67ef8850abadf517c984928c11feea1ee7ec3bc6f8,4,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.37243
7d625ebadbd0059ad4201204a1fc2cf31787bbe46df03270f60b22cf45455b02,3,Instalação de Acessórios e Mobiliário > Placas de identificação,naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.325578
1afc50560ae4c6f49a38e10441181bb585ddb88e44b88ec76248defe2e6b1c04,1,"Estrutura Predial > Esquadrias, porta, portão e janelas",naive_bayes,"Estrutura Predial > Esquadrias, porta, portão e janelas",0.892415
081c68229e69ec1a2bef4d4690440f158baf36beac58225d1b12b3e0563aee62,3,Elétrica > Iluminação,naive_bayes,Elétrica > Iluminação,0.857444
fbc1f6898b3fd1d2d806fcb944fe535ff5f4a1d973d8ef218558dd2e9ae526a3,4,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.291149
d6acb3c1a79e57bcc03d976cb4d98f56edccd4cf426392e8cd4b01b965ab808b,4,"Estrutura Predial > Esquadrias, porta, portão e janelas",naive_bayes,"Estrutura Predial > Esquadrias, porta, portão e janelas",0.67125
d4e2501734145318e12b209000cf646434ff9d3fae8bc9302dba2d7ce01f3073,2,Suprimentos / Apoio Técnico > Materiais,naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.585801
89c1baf80810ed35b8cc4ab4bb30da6136d5ad7d4c0442988ed519e0dd68fc5e,3,Elétrica > Iluminação,naive_bayes,Elétrica > Iluminação,0.529648
15811bd57b46d0025f3a839bb785419c90f4f22518025a487979085da2c6a189,4,Instalação de Acessórios e Mobiliário > Placas de identificação,naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.45047
0252656a94fd2e920b5d3eb4ba1bbb903af8091c9da4efff6886eaf43b09fe80,5,"Estrutura Predial > Esquadrias, porta, portão e janelas",naive_bayes,Climatização > Ar condicionado split,0.17691
13138993ff1ce9cbc0b4fe4a89d405ced13f06ce3baf40e52590d1ca073e71d6,5,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",naive_bayes,Estrutura Predial > Alvenaria / Pisos / Estrutura,0.54266
7ef4694c838dc3db5176c6531eeb3f9290e229b4ed08f83100c809fbc1ee7b73,1,Elétrica > Instalações elétricas,naive_bayes,Elétrica > Instalações elétricas,0.824555
b3c3b62c4e9797a9abb3858f351532f9c7dedfdf5f18cc7bdaac0ab89f7e8138,3,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,naive_bayes,Elétrica > Instalações elétricas,0.568753
2f4d707285019a3128e47af6065e7f94c99ad5f67e8dbb2331195e19f280a9dc,3,"Estrutura Predial > Esquadrias, porta, portão e janelas",naive_bayes,"Estrutura Predial > Esquadrias, porta, portão e janelas",0.623569
