linha	categoria_historica	pred_naive_bayes	conf_naive_bayes	acerto_naive_bayes	pred_regressao_logistica	conf_regressao_logistica	acerto_regressao_logistica	pred_linear_svc	conf_linear_svc	acerto_linear_svc	pred_sgd	conf_sgd	acerto_sgd	pred_extra_trees	conf_extra_trees	acerto_extra_trees	pred_random_forest	conf_random_forest	acerto_random_forest	pred_lstm	conf_lstm	acerto_lstm
7976	Estrutura Predial > Alvenaria / Pisos / Estrutura	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.3198	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.0701	1	Estrutura Predial > Pintura	0.0324	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.064	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.355	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.23	1	Outros > Erro de chamado	0.1497	0
7977	Climatização > Ar condicionado	Climatização > Ar condicionado	0.7996	1	Climatização > Ar condicionado	0.2003	1	Climatização > Ar condicionado	0.0633	1	Climatização > Ar condicionado	0.2089	1	Climatização > Ar condicionado	0.71	1	Climatização > Ar condicionado	0.425	1	Climatização > Ar condicionado	0.942	1
7978	Elétrica > Iluminação	Elétrica > Instalações elétricas	0.5574	0	Elétrica > Instalações elétricas	0.23	0	Elétrica > Instalações elétricas	0.0625	0	Elétrica > Instalações elétricas	0.1948	0	Elétrica > Instalações elétricas	0.51	0	Elétrica > Instalações elétricas	0.345	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.3658	0
7979	Estrutura Predial > Alvenaria / Pisos / Estrutura	Climatização > Ar condicionado	0.3399	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.0767	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.0464	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.0622	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.295	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.195	1	Manutenção Preventiva > Telhados, calhas, rufos, etc.	0.1907	0
7980	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.5731	0	Outros > Erro de chamado	0.2011	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.0345	0	Outros > Erro de chamado	0.1569	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.565	0	Outros > Erro de chamado	0.3	0	Outros > Erro de chamado	0.0907	0
7981	Estrutura Predial > Alvenaria / Pisos / Estrutura	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.6375	1	Projetos e Reformas > Reforma	0.088	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.0298	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.0916	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.255	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.135	1	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	0.3273	0
7982	Hidrossanitária > Hidráulica	Hidrossanitária > Hidráulica	0.705	1	Hidrossanitária > Hidráulica	0.288	1	Hidrossanitária > Hidráulica	0.0659	1	Hidrossanitária > Hidráulica	0.2586	1	Hidrossanitária > Hidráulica	0.625	1	Hidrossanitária > Hidráulica	0.52	1	Hidrossanitária > Hidráulica	0.9194	1
7983	Estrutura Predial > Esquadrias, porta, portão e janelas	Climatização > Ar condicionado	0.4195	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.1679	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.0499	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.1357	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.45	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.31	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.5511	1
7984	Estrutura Predial > Alvenaria / Pisos / Estrutura	Elétrica > Instalações elétricas	0.4055	0	Elétrica > Instalações elétricas	0.1335	0	Elétrica > Instalações elétricas	0.0397	0	Elétrica > Instalações elétricas	0.1149	0	Elétrica > Instalações elétricas	0.455	0	Elétrica > Instalações elétricas	0.475	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.281	1
7985	Elétrica > Instalações elétricas	Elétrica > Instalações elétricas	0.4451	1	Elétrica > Instalações elétricas	0.1073	1	Elétrica > Instalações elétricas	0.0279	1	Elétrica > Instalações elétricas	0.1166	1	Elétrica > Instalações elétricas	0.435	1	Elétrica > Instalações elétricas	0.43	1	Projetos e Reformas > Projeto	0.1331	0
7986	Climatização > Ar condicionado	Climatização > Ar condicionado	0.9964	1	Climatização > Ar condicionado	0.819	1	Climatização > Ar condicionado	0.2195	1	Climatização > Ar condicionado	0.6702	1	Climatização > Ar condicionado	0.975	1	Climatização > Ar condicionado	0.935	1	Climatização > Ar condicionado	0.9793	1
7987	Estrutura Predial > Infiltração	Climatização > Ar condicionado	0.6765	0	Estrutura Predial > Infiltração	0.2398	1	Estrutura Predial > Infiltração	0.0478	1	Estrutura Predial > Infiltração	0.1835	1	Climatização > Ar condicionado	0.645	0	Climatização > Ar condicionado	0.575	0	Estrutura Predial > Infiltração	0.5413	1
7988	Estrutura Predial > Forro	Climatização > Ar condicionado	0.2488	0	Estrutura Predial > Forro	0.3016	1	Estrutura Predial > Forro	0.0575	1	Estrutura Predial > Forro	0.2622	1	Estrutura Predial > Forro	0.445	1	Estrutura Predial > Forro	0.505	1	Estrutura Predial > Forro	0.6583	1
7989	Posto de trabalho > Contratação de Posto de trabalho	Posto de trabalho > Contratação de Posto de trabalho	0.2662	1	Posto de trabalho > Contratação de Posto de trabalho	0.7169	1	Posto de trabalho > Contratação de Posto de trabalho	0.1214	1	Posto de trabalho > Contratação de Posto de trabalho	0.4676	1	Posto de trabalho > Contratação de Posto de trabalho	0.96	1	Posto de trabalho > Contratação de Posto de trabalho	0.95	1	Posto de trabalho > Contratação de Posto de trabalho	0.989	1
7990	Posto de trabalho > Contratação de Posto de trabalho	Posto de trabalho > Contratação de Posto de trabalho	0.3084	1	Posto de trabalho > Contratação de Posto de trabalho	0.8036	1	Posto de trabalho > Contratação de Posto de trabalho	0.1288	1	Posto de trabalho > Contratação de Posto de trabalho	0.4991	1	Posto de trabalho > Contratação de Posto de trabalho	0.99	1	Posto de trabalho > Contratação de Posto de trabalho	1.0	1	Posto de trabalho > Contratação de Posto de trabalho	0.994	1
