linha	categoria_historica	pred_naive_bayes	conf_naive_bayes	acerto_naive_bayes	pred_regressao_logistica	conf_regressao_logistica	acerto_regressao_logistica	pred_linear_svc	conf_linear_svc	acerto_linear_svc	pred_sgd	conf_sgd	acerto_sgd	pred_extra_trees	conf_extra_trees	acerto_extra_trees	pred_random_forest	conf_random_forest	acerto_random_forest	pred_lstm	conf_lstm	acerto_lstm
2	Elétrica > Instalações elétricas	Elétrica > Iluminação	0.3397	0	Elétrica > Iluminação	0.1147	0	Elétrica > Iluminação	0.1103	0	Elétrica > Iluminação	0.5127	0	Elétrica > Iluminação	0.41	0	Elétrica > Iluminação	0.215	0	Manutenção Preventiva > Extintor	0.2494	0
3	Elétrica > Iluminação	Elétrica > Iluminação	0.4035	1	Elétrica > Iluminação	0.1502	1	Elétrica > Iluminação	0.1893	1	Elétrica > Iluminação	0.907	1	Elétrica > Iluminação	0.73	1	Elétrica > Iluminação	0.52	1	Elétrica > Iluminação	0.992	1
4	Elétrica > Instalações elétricas	Elétrica > Iluminação	0.2502	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.1018	0	Elétrica > Nobreak	0.0958	0	Elétrica > Nobreak	0.2929	0	Elétrica > Iluminação	0.565	0	Elétrica > Iluminação	0.205	0	Suprimentos / Apoio Técnico > Materiais	0.4111	0
5	Climatização > Ar condicionado	Climatização > Ar condicionado	0.2752	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.1191	0	Climatização > Ar condicionado	0.1165	1	Climatização > Ar condicionado	0.4889	1	Climatização > Ar condicionado	0.45	1	Climatização > Ar condicionado	0.405	1	Climatização > Ar condicionado	0.8823	1
6	Elétrica > Instalações elétricas	Elétrica > Iluminação	0.3287	0	Elétrica > Iluminação	0.1069	0	Elétrica > Instalações elétricas	0.1104	1	Elétrica > Instalações elétricas	0.5599	1	Elétrica > Iluminação	0.74	0	Elétrica > Iluminação	0.48	0	Elétrica > Instalações elétricas	0.3249	1
7	Estrutura Predial > Alvenaria / Pisos / Estrutura	Elétrica > Iluminação	0.3175	0	Elétrica > Iluminação	0.1257	0	Elétrica > Iluminação	0.1242	0	Elétrica > Iluminação	0.3175	0	Elétrica > Iluminação	0.875	0	Elétrica > Iluminação	0.43	0	Área Externa e Ambiental > Poda de Árvore / Roçagem	0.2176	0
8	Elétrica > Iluminação	Elétrica > Iluminação	0.3179	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.1105	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.1	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.2567	0	Elétrica > Iluminação	0.605	1	Elétrica > Iluminação	0.395	1	Elétrica > Iluminação	0.8299	1
9	Elétrica > Instalações elétricas	Elétrica > Iluminação	0.3239	0	Elétrica > Instalações elétricas	0.1185	1	Elétrica > Instalações elétricas	0.1239	1	Elétrica > Instalações elétricas	0.5489	1	Elétrica > Iluminação	0.59	0	Elétrica > Iluminação	0.32	0	Elétrica > Instalações elétricas	0.3217	1
10	Estrutura Predial > Alvenaria / Pisos / Estrutura	Elétrica > Instalações elétricas	0.2682	0	Outros > Erro de chamado	0.1374	0	Outros > Erro de chamado	0.1124	0	Outros > Erro de chamado	0.554	0	Climatização > Ar condicionado	0.3	0	Elétrica > Instalações elétricas	0.235	0	Projetos e Reformas > Projeto	0.1093	0
11	Elétrica > Instalações elétricas	Elétrica > Iluminação	0.2812	0	Elétrica > Iluminação	0.1162	0	Elétrica > Instalações elétricas	0.1211	1	Elétrica > Instalações elétricas	0.6212	1	Elétrica > Iluminação	0.76	0	Elétrica > Iluminação	0.41	0	Elétrica > Iluminação	0.9537	0
12	Elétrica > Iluminação	Elétrica > Iluminação	0.3205	1	Elétrica > Iluminação	0.1155	1	Elétrica > Iluminação	0.1054	1	Elétrica > Iluminação	0.174	1	Elétrica > Iluminação	0.755	1	Elétrica > Iluminação	0.37	1	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	0.3273	0
13	Climatização > Ar condicionado	Climatização > Ar condicionado	0.3306	1	Climatização > Ar condicionado	0.1387	1	Climatização > Ar condicionado	0.1611	1	Climatização > Ar condicionado	0.7306	1	Elétrica > Iluminação	0.51	0	Elétrica > Iluminação	0.43	0	Climatização > Ar condicionado	0.9734	1
14	Elétrica > Iluminação	Elétrica > Iluminação	0.3632	1	Elétrica > Iluminação	0.1302	1	Elétrica > Iluminação	0.1373	1	Elétrica > Iluminação	0.4284	1	Elétrica > Iluminação	0.77	1	Elétrica > Instalações elétricas	0.33	0	Elétrica > Iluminação	0.6906	1
15	Elétrica > Iluminação	Elétrica > Iluminação	0.4183	1	Elétrica > Iluminação	0.1412	1	Elétrica > Iluminação	0.1629	1	Elétrica > Iluminação	0.6851	1	Elétrica > Iluminação	0.79	1	Elétrica > Iluminação	0.325	1	Elétrica > Iluminação	0.9239	1
16	Outros > Erro de chamado	Elétrica > Iluminação	0.3078	0	Projetos e Reformas > Projeto	0.1898	0	Projetos e Reformas > Projeto	0.1184	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.4923	0	Elétrica > Iluminação	0.535	0	Projetos e Reformas > Projeto	0.285	0	Projetos e Reformas > Projeto	0.115	0
17	Climatização > Ar condicionado	Climatização > Ar condicionado	0.2993	1	Climatização > Ar condicionado	0.1303	1	Climatização > Ar condicionado	0.1431	1	Climatização > Ar condicionado	0.8903	1	Climatização > Ar condicionado	0.57	1	Climatização > Ar condicionado	0.445	1	Climatização > Ar condicionado	0.7074	1
18	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	Elétrica > Iluminação	0.3123	0	Elétrica > Iluminação	0.1131	0	Elétrica > Iluminação	0.115	0	Elétrica > Iluminação	0.6426	0	Elétrica > Iluminação	0.56	0	Elétrica > Iluminação	0.3	0	Elétrica > Instalações elétricas	0.4351	0
19	Elétrica > Iluminação	Elétrica > Iluminação	0.3169	1	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	0.1762	0	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	0.1533	0	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	0.8672	0	Elétrica > Instalações elétricas	0.39	0	Elétrica > Instalações elétricas	0.22	0	Elétrica > Iluminação	0.7028	1
20	Estrutura Predial > Esquadrias, porta, portão e janelas	Elétrica > Iluminação	0.3305	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.133	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.1219	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.4734	1	Elétrica > Iluminação	0.6	0	Elétrica > Iluminação	0.395	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.5284	1
21	Elétrica > Instalações elétricas	Elétrica > Instalações elétricas	0.2993	1	Outros > Erro de chamado	0.1473	0	Outros > Erro de chamado	0.1165	0	Elétrica > Instalações elétricas	0.7891	1	Outros > Erro de chamado	0.69	0	Outros > Erro de chamado	0.61	0	Área Externa e Ambiental > Manutenção área externa / meio ambiente	0.0961	0
22	Estrutura Predial > Esquadrias, porta, portão e janelas	Elétrica > Iluminação	0.2998	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.14	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.1309	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.5877	1	Elétrica > Iluminação	0.485	0	Elétrica > Iluminação	0.36	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.9831	1
23	Elétrica > Instalações elétricas	Elétrica > Instalações elétricas	0.2726	1	Elétrica > Instalações elétricas	0.1245	1	Elétrica > Instalações elétricas	0.1528	1	Elétrica > Instalações elétricas	0.7437	1	Elétrica > Iluminação	0.58	0	Elétrica > Iluminação	0.445	0	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	0.4917	0
24	Climatização > Ar condicionado	Climatização > Ar condicionado	0.3187	1	Climatização > Ar condicionado	0.144	1	Climatização > Ar condicionado	0.1546	1	Climatização > Ar condicionado	0.8053	1	Climatização > Ar condicionado	0.59	1	Climatização > Ar condicionado	0.505	1	Climatização > Ar condicionado	0.5634	1
25	Elétrica > Iluminação	Elétrica > Iluminação	0.2857	1	Elétrica > Iluminação	0.1212	1	Elétrica > Iluminação	0.1197	1	Elétrica > Iluminação	0.3507	1	Elétrica > Iluminação	0.78	1	Elétrica > Iluminação	0.45	1	Manutenção Preventiva > Iluminação	0.7825	0
26	Elétrica > Iluminação	Elétrica > Iluminação	0.2635	1	Elétrica > Iluminação	0.1109	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.1071	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.4351	0	Elétrica > Iluminação	0.445	1	Elétrica > Iluminação	0.27	1	Elétrica > Iluminação	0.9404	1
27	Elétrica > Iluminação	Elétrica > Iluminação	0.3216	1	Elétrica > Iluminação	0.1288	1	Elétrica > Iluminação	0.1329	1	Elétrica > Iluminação	0.5283	1	Elétrica > Iluminação	0.82	1	Elétrica > Iluminação	0.49	1	Elétrica > Iluminação	0.9334	1
28	Elétrica > Iluminação	Elétrica > Iluminação	0.2666	1	Elétrica > Iluminação	0.1112	1	Elétrica > Iluminação	0.1038	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.2638	0	Elétrica > Iluminação	0.66	1	Elétrica > Iluminação	0.36	1	Elétrica > Iluminação	0.963	1
29	Outros > Erro de chamado	Climatização > Ar condicionado	0.2184	0	Climatização > Ar condicionado	0.1023	0	Elétrica > Nobreak	0.0974	0	Elétrica > Nobreak	0.3606	0	Elétrica > Iluminação	0.74	0	Elétrica > Iluminação	0.455	0	Suprimentos / Apoio Técnico > Transporte	0.176	0
30	Elétrica > Nobreak	Elétrica > Iluminação	0.3084	0	Elétrica > Instalações elétricas	0.1158	0	Elétrica > Instalações elétricas	0.1132	0	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	0.3862	0	Elétrica > Iluminação	0.6	0	Elétrica > Iluminação	0.265	0	Elétrica > Nobreak	0.2158	1
31	Elétrica > Iluminação	Elétrica > Iluminação	0.2936	1	Elétrica > Iluminação	0.1223	1	Elétrica > Iluminação	0.1313	1	Elétrica > Iluminação	0.7242	1	Elétrica > Iluminação	0.79	1	Elétrica > Iluminação	0.48	1	Elétrica > Iluminação	0.9801	1
32	Elétrica > Iluminação	Elétrica > Iluminação	0.3432	1	Elétrica > Iluminação	0.1258	1	Elétrica > Iluminação	0.1321	1	Elétrica > Iluminação	0.823	1	Elétrica > Iluminação	0.56	1	Elétrica > Iluminação	0.305	1	Elétrica > Iluminação	0.434	1
33	Climatização > Ar condicionado	Climatização > Ar condicionado	0.365	1	Climatização > Ar condicionado	0.1477	1	Climatização > Ar condicionado	0.1902	1	Climatização > Ar condicionado	0.9551	1	Climatização > Ar condicionado	0.695	1	Climatização > Ar condicionado	0.51	1	Climatização > Ar condicionado	0.5266	1
34	Elétrica > Iluminação	Elétrica > Instalações elétricas	0.3405	0	Outros > Erro de chamado	0.1996	0	Outros > Erro de chamado	0.1504	0	Outros > Erro de chamado	0.8648	0	Elétrica > Instalações elétricas	0.455	0	Outros > Erro de chamado	0.315	0	Projetos e Reformas > Projeto	0.3272	0
35	Climatização > Ar condicionado	Climatização > Ar condicionado	0.2963	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.1555	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.151	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.5147	0	Climatização > Ar condicionado	0.45	1	Climatização > Ar condicionado	0.46	1	Hidrossanitária > ETA / ETE	0.23	0
36	Estrutura Predial > Esquadrias, porta, portão e janelas	Climatização > Ar condicionado	0.2626	0	Climatização > Ar condicionado	0.1083	0	Climatização > Ar condicionado	0.1122	0	Climatização > Ar condicionado	0.4794	0	Elétrica > Iluminação	0.45	0	Elétrica > Iluminação	0.275	0	Estrutura Predial > Telhados, calhas, rufos, etc.	0.5128	0
37	Climatização > Ar condicionado	Climatização > Ar condicionado	0.413	1	Climatização > Ar condicionado	0.161	1	Climatização > Ar condicionado	0.2187	1	Climatização > Ar condicionado	0.953	1	Climatização > Ar condicionado	0.81	1	Climatização > Ar condicionado	0.515	1	Climatização > Ar condicionado	0.4348	1
38	Instalação de Acessórios e Mobiliário > Placas de identificação	Elétrica > Instalações elétricas	0.2732	0	Outros > Erro de chamado	0.1164	0	Elétrica > Instalações elétricas	0.1015	0	Elétrica > Instalações elétricas	0.3324	0	Elétrica > Instalações elétricas	0.365	0	Elétrica > Instalações elétricas	0.28	0	Área Externa e Ambiental > Manutenção área externa / meio ambiente	0.1105	0
39	Outros > Erro de chamado	Climatização > Ar condicionado	0.3099	0	Outros > Erro de chamado	0.1574	1	Outros > Erro de chamado	0.1297	1	Outros > Erro de chamado	0.5629	1	Climatização > Ar condicionado	0.425	0	Outros > Erro de chamado	0.41	1	Climatização > Ar condicionado	0.3969	0
40	Elétrica > Gerador	Elétrica > Iluminação	0.3712	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.104	0	Instalação de Acessórios e Mobiliário > Placas de identificação	0.1035	0	Instalação de Acessórios e Mobiliário > Placas de identificação	0.6586	0	Elétrica > Iluminação	0.645	0	Elétrica > Iluminação	0.345	0	Estrutura Predial > Infiltração	0.3574	0
41	Elétrica > Iluminação	Elétrica > Iluminação	0.2959	1	Elétrica > Iluminação	0.1259	1	Elétrica > Iluminação	0.1288	1	Elétrica > Iluminação	0.4109	1	Elétrica > Iluminação	0.66	1	Elétrica > Iluminação	0.455	1	Elétrica > Iluminação	0.6616	1
42	Estrutura Predial > Alvenaria / Pisos / Estrutura	Elétrica > Iluminação	0.3042	0	Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)	0.1268	0	Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)	0.1207	0	Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)	0.7641	0	Elétrica > Iluminação	0.645	0	Elétrica > Iluminação	0.375	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.2482	1
43	Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)	Elétrica > Iluminação	0.2196	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.1344	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.1537	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.7133	0	Elétrica > Iluminação	0.495	0	Elétrica > Iluminação	0.33	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.1726	0
44	Elétrica > Instalações elétricas	Elétrica > Iluminação	0.2979	0	Projetos e Reformas > Projeto	0.1851	0	Projetos e Reformas > Projeto	0.118	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.4324	0	Elétrica > Iluminação	0.44	0	Projetos e Reformas > Projeto	0.31	0	Projetos e Reformas > Projeto	0.3935	0
45	Climatização > Ar condicionado	Climatização > Ar condicionado	0.3493	1	Climatização > Ar condicionado	0.1443	1	Climatização > Ar condicionado	0.1838	1	Climatização > Ar condicionado	0.8786	1	Climatização > Ar condicionado	0.575	1	Climatização > Ar condicionado	0.475	1	Climatização > Ar condicionado	0.8435	1
46	Climatização > Ar condicionado	Climatização > Ar condicionado	0.4237	1	Climatização > Ar condicionado	0.1595	1	Climatização > Ar condicionado	0.2186	1	Climatização > Ar condicionado	0.9743	1	Climatização > Ar condicionado	0.685	1	Climatização > Ar condicionado	0.51	1	Climatização > Ar condicionado	0.9517	1
47	Climatização > Ar condicionado	Climatização > Ar condicionado	0.3904	1	Climatização > Ar condicionado	0.163	1	Climatização > Ar condicionado	0.2068	1	Climatização > Ar condicionado	0.6521	1	Climatização > Ar condicionado	0.675	1	Climatização > Ar condicionado	0.52	1	Climatização > Ar condicionado	0.964	1
48	Estrutura Predial > Alvenaria / Pisos / Estrutura	Elétrica > Iluminação	0.2878	0	Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)	0.1317	0	Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)	0.1263	0	Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)	0.6747	0	Elétrica > Iluminação	0.77	0	Elétrica > Iluminação	0.405	0	Elétrica > Instalações elétricas	0.2036	0
49	Projetos e Reformas > Projeto	Elétrica > Instalações elétricas	0.3622	0	Outros > Erro de chamado	0.1638	0	Outros > Erro de chamado	0.1359	0	Outros > Erro de chamado	0.6457	0	Elétrica > Instalações elétricas	0.685	0	Elétrica > Instalações elétricas	0.39	0	Projetos e Reformas > Projeto	0.1188	1
50	Estrutura Predial > Esquadrias, porta, portão e janelas	Elétrica > Iluminação	0.2801	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.1553	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.1468	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.6761	1	Elétrica > Iluminação	0.525	0	Elétrica > Iluminação	0.295	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.8771	1
51	Climatização > Ar condicionado	Elétrica > Iluminação	0.2953	0	Projetos e Reformas > Projeto	0.1689	0	Projetos e Reformas > Projeto	0.1078	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.3847	0	Elétrica > Iluminação	0.535	0	Projetos e Reformas > Projeto	0.25	0	Manutenção Preventiva > Aplicação cupinicida	0.2068	0
52	Suprimentos / Apoio Técnico > Materiais	Climatização > Ar condicionado	0.2816	0	Outros > Erro de chamado	0.1476	0	Outros > Erro de chamado	0.1044	0	Elétrica > Instalações elétricas	0.2905	0	Outros > Erro de chamado	0.38	0	Outros > Erro de chamado	0.5	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.1258	0
53	Estrutura Predial > Alvenaria / Pisos / Estrutura	Elétrica > Iluminação	0.3879	0	Elétrica > Iluminação	0.1169	0	Elétrica > Iluminação	0.1095	0	Elétrica > Iluminação	0.4024	0	Elétrica > Iluminação	0.69	0	Elétrica > Iluminação	0.355	0	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	0.3457	0
54	Estrutura Predial > Alvenaria / Pisos / Estrutura	Elétrica > Iluminação	0.2695	0	Outros > Erro de chamado	0.1475	0	Outros > Erro de chamado	0.1178	0	Outros > Erro de chamado	0.6313	0	Elétrica > Iluminação	0.335	0	Elétrica > Instalações elétricas	0.255	0	Manutenção Preventiva > Aplicação cupinicida	0.2081	0
55	Elétrica > Iluminação	Elétrica > Iluminação	0.3368	1	Elétrica > Iluminação	0.134	1	Elétrica > Iluminação	0.1525	1	Elétrica > Iluminação	0.7091	1	Elétrica > Iluminação	0.825	1	Elétrica > Iluminação	0.53	1	Elétrica > Iluminação	0.7866	1
56	Elétrica > Iluminação	Elétrica > Iluminação	0.413	1	Elétrica > Iluminação	0.1375	1	Elétrica > Iluminação	0.1614	1	Elétrica > Iluminação	0.8066	1	Elétrica > Iluminação	0.865	1	Elétrica > Iluminação	0.44	1	Elétrica > Iluminação	0.8113	1
57	Climatização > Ar condicionado	Climatização > Ar condicionado	0.2813	1	Outros > Erro de chamado	0.1559	0	Climatização > Ar condicionado	0.1201	1	Climatização > Ar condicionado	0.8152	1	Outros > Erro de chamado	0.51	0	Outros > Erro de chamado	0.68	0	Climatização > Ar condicionado	0.6173	1
58	Elétrica > Instalações elétricas	Elétrica > Instalações elétricas	0.3068	1	Outros > Erro de chamado	0.1025	0	Elétrica > Instalações elétricas	0.0928	1	Elétrica > Instalações elétricas	0.4474	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.265	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.205	0	Suprimentos / Apoio Técnico > Materiais	0.2212	0
59	Elétrica > Instalações elétricas	Elétrica > Iluminação	0.265	0	Outros > Erro de chamado	0.1136	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.1057	0	Elétrica > Iluminação	0.3115	0	Elétrica > Instalações elétricas	0.285	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.28	0	Outros > Erro de chamado	0.2264	0
60	Hidrossanitária > Hidráulica	Elétrica > Iluminação	0.332	0	Elétrica > Iluminação	0.104	0	Elétrica > Iluminação	0.1013	0	Instalação de Acessórios e Mobiliário > Placas de identificação	0.2577	0	Elétrica > Iluminação	0.765	0	Elétrica > Iluminação	0.46	0	Hidrossanitária > Hidráulica	0.5641	1
61	Elétrica > Instalações elétricas	Elétrica > Iluminação	0.3096	0	Elétrica > Instalações elétricas	0.1281	1	Elétrica > Instalações elétricas	0.1363	1	Elétrica > Instalações elétricas	0.5699	1	Elétrica > Iluminação	0.705	0	Elétrica > Iluminação	0.4	0	TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi	0.2219	0
62	Elétrica > Iluminação	Climatização > Ar condicionado	0.3219	0	Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)	0.0603	0	Elétrica > Iluminação	0.0341	1	Instalação de Acessórios e Mobiliário > Mobiliário	0.0597	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.33	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.17	0	Manutenção Preventiva > Iluminação	0.3877	0
63	Projetos e Reformas > Reforma	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.365	0	Projetos e Reformas > Reforma	0.0778	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.0319	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.0681	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.33	0	Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)	0.185	0	Manutenção Preventiva > Bomba	0.0991	0
64	Estrutura Predial > Esquadrias, porta, portão e janelas	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.236	0	Outros > Erro de chamado	0.0962	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.0302	1	Outros > Erro de chamado	0.0759	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.395	0	Outros > Erro de chamado	0.3	0	Projetos e Reformas > Reforma	0.293	0
65	Estrutura Predial > Esquadrias, porta, portão e janelas	Estrutura Predial > Esquadrias, porta, portão e janelas	0.6906	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.3002	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.0836	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.2547	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.64	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.51	1	Estrutura Predial > Esquadrias, porta, portão e janelas	0.423	1
66	Estrutura Predial > Esquadrias, porta, portão e janelas	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.3952	0	Estrutura Predial > Telhados, calhas, rufos, etc.	0.0641	0	Estrutura Predial > Esquadrias, porta, portão e janelas	0.0332	1	Estrutura Predial > Telhados, calhas, rufos, etc.	0.0562	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.34	0	Outros > Erro de chamado	0.175	0	Estrutura Predial > Infiltração	0.1991	0
67	Climatização > Ar condicionado	Climatização > Ar condicionado	0.9956	1	Climatização > Ar condicionado	0.6591	1	Climatização > Ar condicionado	0.1672	1	Climatização > Ar condicionado	0.6019	1	Climatização > Ar condicionado	0.875	1	Climatização > Ar condicionado	0.77	1	Climatização > Ar condicionado	0.9781	1
68	Elétrica > Instalações elétricas	Elétrica > Instalações elétricas	0.4319	1	Elétrica > Instalações elétricas	0.112	1	Elétrica > Instalações elétricas	0.0372	1	Elétrica > Instalações elétricas	0.0928	1	Elétrica > Instalações elétricas	0.535	1	Elétrica > Instalações elétricas	0.46	1	Elétrica > Instalações elétricas	0.3821	1
69	Estrutura Predial > Alvenaria / Pisos / Estrutura	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.49	1	Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)	0.138	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.0275	1	Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)	0.0953	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.54	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.22	1	Elétrica > Instalações elétricas	0.4692	0
70	Elétrica > Instalações elétricas	Elétrica > Instalações elétricas	0.2133	1	Elétrica > Instalações elétricas	0.1693	1	Elétrica > Instalações elétricas	0.0552	1	Elétrica > Instalações elétricas	0.1276	1	Elétrica > Instalações elétricas	0.76	1	Elétrica > Instalações elétricas	0.66	1	Elétrica > Nobreak	0.1884	0
71	Climatização > Ar condicionado	Climatização > Ar condicionado	0.8748	1	Climatização > Ar condicionado	0.2606	1	Climatização > Ar condicionado	0.0662	1	Climatização > Ar condicionado	0.2736	1	Climatização > Ar condicionado	0.905	1	Climatização > Ar condicionado	0.8	1	Climatização > Ar condicionado	0.9892	1
72	Elétrica > Instalações elétricas	Elétrica > Instalações elétricas	0.5903	1	Elétrica > Instalações elétricas	0.2329	1	Elétrica > Instalações elétricas	0.0839	1	Elétrica > Instalações elétricas	0.1976	1	Elétrica > Instalações elétricas	0.665	1	Elétrica > Instalações elétricas	0.54	1	Elétrica > Nobreak	0.2259	0
73	Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)	Elétrica > Instalações elétricas	0.3609	0	Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)	0.0901	1	Outros > Erro de chamado	0.0402	0	Elétrica > Instalações elétricas	0.0753	0	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.355	0	Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)	0.27	1	Outros > Erro de chamado	0.2816	0
74	Elétrica > Nobreak	Climatização > Ar condicionado	0.3407	0	Elétrica > Nobreak	0.3155	1	Elétrica > Nobreak	0.0679	1	Elétrica > Nobreak	0.2695	1	Elétrica > Nobreak	0.415	1	Elétrica > Nobreak	0.46	1	Elétrica > Nobreak	0.4808	1
75	Estrutura Predial > Alvenaria / Pisos / Estrutura	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.7825	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.1422	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.0418	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.1455	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.53	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.275	1	Estrutura Predial > Alvenaria / Pisos / Estrutura	0.1625	1
76	Elétrica > Iluminação	Elétrica > Instalações elétricas	0.4306	0	Elétrica > Instalações elétricas	0.1786	0	Elétrica > Instalações elétricas	0.0579	0	Elétrica > Instalações elétricas	0.1533	0	Elétrica > Instalações elétricas	0.46	0	Elétrica > Instalações elétricas	0.415	0	Elétrica > Instalações elétricas	0.2696	0
