escopo,outer_fold,metodo,K,y1_denominador,capturados,precisao,recall,diff_capturados_vs_linear_svc,diff_precisao_vs_linear_svc,diff_recall_vs_linear_svc
agregado,,LinearSVC,2840,593,523,0.1841549295774648,0.8819561551433389,0,0.0,0.0
agregado,,Votacao majoritaria,2840,593,516,0.18169014084507043,0.8701517706576728,-7,-0.002464788732394363,-0.01180438448566612
agregado,,Votacao suave ponderada,2840,593,503,0.17711267605633804,0.8482293423271501,-20,-0.007042253521126751,-0.033726812816188834
agregado,,Stacking,2840,593,512,0.18028169014084508,0.863406408094435,-11,-0.003873239436619713,-0.018549747048903886
fold,1,LinearSVC,564,124,104,0.18439716312056736,0.8387096774193549,0,0.0,0.0
fold,1,Votacao majoritaria,564,124,102,0.18085106382978725,0.8225806451612904,-2,-0.003546099290780119,-0.016129032258064502
fold,1,Votacao suave ponderada,564,124,97,0.17198581560283688,0.782258064516129,-7,-0.012411347517730487,-0.05645161290322587
fold,1,Stacking,564,124,101,0.17907801418439717,0.8145161290322581,-3,-0.005319148936170193,-0.024193548387096753
fold,2,LinearSVC,560,95,85,0.15178571428571427,0.8947368421052632,0,0.0,0.0
fold,2,Votacao majoritaria,560,95,85,0.15178571428571427,0.8947368421052632,0,0.0,0.0
fold,2,Votacao suave ponderada,560,95,82,0.14642857142857144,0.8631578947368421,-3,-0.005357142857142838,-0.03157894736842104
fold,2,Stacking,560,95,82,0.14642857142857144,0.8631578947368421,-3,-0.005357142857142838,-0.03157894736842104
fold,3,LinearSVC,616,135,119,0.19318181818181818,0.8814814814814815,0,0.0,0.0
fold,3,Votacao majoritaria,616,135,117,0.18993506493506493,0.8666666666666667,-2,-0.003246753246753248,-0.014814814814814836
fold,3,Votacao suave ponderada,616,135,118,0.19155844155844157,0.8740740740740741,-1,-0.00162337662337661,-0.007407407407407418
fold,3,Stacking,616,135,123,0.19967532467532467,0.9111111111111111,4,0.006493506493506496,0.02962962962962956
fold,4,LinearSVC,507,113,102,0.20118343195266272,0.9026548672566371,0,0.0,0.0
fold,4,Votacao majoritaria,507,113,100,0.19723865877712032,0.8849557522123894,-2,-0.003944773175542399,-0.017699115044247704
fold,4,Votacao suave ponderada,507,113,98,0.1932938856015779,0.8672566371681416,-4,-0.007889546351084825,-0.03539823008849552
fold,4,Stacking,507,113,98,0.1932938856015779,0.8672566371681416,-4,-0.007889546351084825,-0.03539823008849552
fold,5,LinearSVC,593,126,113,0.1905564924114671,0.8968253968253969,0,0.0,0.0
fold,5,Votacao majoritaria,593,126,112,0.18887015177065766,0.8888888888888888,-1,-0.0016863406408094417,-0.00793650793650802
fold,5,Votacao suave ponderada,593,126,108,0.1821247892074199,0.8571428571428571,-5,-0.008431703204047208,-0.039682539682539764
fold,5,Stacking,593,126,108,0.1821247892074199,0.8571428571428571,-5,-0.008431703204047208,-0.039682539682539764
